is_squeezed,energy_level,momentum,prev_momentum,squeeze_on,fired,Signal,Close,timestamp,ma20,ma20_slope,ma20_converging,close_above_ma20,volume_expansion_ratio,volume_expansion,rs_ratio,rs_index,rs_ema20,rs_ema60,rs_slope_1d,rs_slope_5d,rs_slope_20d,rs_slope,rs_above_ema20,rs_above_ema60,rs_ema20_above_ema60,rs_new_high_60,rs_new_high_120,rs_rising_10,rs_percentile_60,rs_high_price_not_high,price_dist_to_high_60,rs_signal,ticker,name,ranking_score,ranking_score_version,feature_schema_version,feature_schema_date,rs_component_score,experimental_score,shadow_score_ma20,shadow_score_rs,composite_score,composite_score_v2,score_version,rank_position_v1,ranking_percentile_v1,rank_position,ranking_percentile,rank_position_v2,ranking_percentile_v2,benchmark_symbol,benchmark_source,benchmark_period,benchmark_last_date,scan_id,has_houyi,has_whale
True,0,-4.2666689554850254,-3.4833348592122393,True,False,賣出 (動能轉弱),95.5999984741211,2026-09-16 00:00:00,92.6199993133545,0.14500007629395384,False,True,1.8467581375984716,True,0.002085110040417666,125.94095400108202,0.0019647628149647716,0.0019160887929943796,0.6489505394431383,0.44497440783142217,10.202738480296759,0.6489505394431383,True,True,True,False,False,True,0.8467192602474406,False,-0.05812809385102369,偏強 (RS上升),1727.TW,中華化,0,v1,phase6a,2026-07-12,2,2,2,2,0,2,v1,344,0.47553516819571867,344,0.47553516819571867,154,0.7660550458715596,^TWII,yfinance,2y,2026-09-16,scan_20260916_153003,False,False
True,0,-0.5749994913736979,-0.3333326975504557,True,False,賣出 (動能轉弱),33.79999923706055,2026-09-15 00:00:00,34.30999984741211,0.014999961853028765,False,False,0.361352179857025,False,0.0007426696096639319,34.6182836306403,0.0007456519915420398,0.000781109729670767,-0.042084353104510086,-0.8526906095157827,-4.9949750814939575,-0.042084353104510086,False,False,False,False,False,True,0.14427914802314987,False,-0.06371189291626533,中性,7732.TW,金興精密,0,v1,phase6a,2026-07-12,0,0,1,0,0,0,v1,605,0.0764525993883792,605,0.0764525993883792,615,0.06116207951070336,^TWII,yfinance,2y,2026-09-16,scan_20260916_153003,False,False
True,0,-0.25,-0.25,True,False,賣出 (動能轉弱),25.950000762939453,2026-09-16 00:00:00,26.120000171661378,0.0025000572204589844,False,False,1.585540585302548,True,0.000565989623465301,45.19732194480894,0.0005661801090902521,0.0005778558932159323,-0.0035413480647061846,-0.21527580072373542,-2.346135574306807,-0.0035413480647061846,False,False,False,False,False,False,0.2250364473437752,False,-0.01518025095785458,中性,2633.TW,台灣高鐵,0,v1,phase6a,2026-07-12,0,0,1,0,0,0,v1,406,0.38073394495412843,406,0.38073394495412843,438,0.3318042813455658,^TWII,yfinance,2y,2026-09-16,scan_20260916_153003,False,False
True,0,-0.09166653951009116,-0.04166666666666667,True,False,賣出 (動能轉弱),26.600000381469727,2026-09-16 00:00:00,26.76499996185303,0.032499980926516514,False,False,0.5707165910849115,False,0.0005801666187843125,54.387609190339155,0.000578521726676228,0.0005817897434660357,0.029938093329739957,0.2504803596847127,0.5790529895101981,0.029938093329739957,True,False,False,False,False,False,0.34973686332497866,False,-0.016635817681439624,中性,2107.TW,厚生,0,v1,phase6a,2026-07-12,0,0,1,0,0,0,v1,362,0.44801223241590216,362,0.44801223241590216,401,0.38837920489296635,^TWII,yfinance,2y,2026-09-16,scan_20260916_153003,False,False
True,0,0.18333339691162112,0.21666685740152986,True,False,觀望 (動能減弱),18.5,2026-09-16 00:00:00,18.11500005722046,0.08750000000000213,False,True,1.43541221784436,False,0.000403499334345376,32.71425794926389,0.0003937609624030857,0.0004208139866981817,0.26101302684204963,0.5434976148585458,-0.5763973210672457,0.26101302684204963,True,False,False,False,False,True,0.258696425853553,False,-0.1777777777777778,偏強 (RS上升),3437.TW,榮創,0,v1,phase6a,2026-07-12,1,1,2,1,0,1,v1,445,0.3211009174311927,445,0.3211009174311927,326,0.5030581039755352,^TWII,yfinance,2y,2026-09-16,scan_20260916_153003,False,False
True,0,-42.666666666666664,-44.49999999999999,True,False,觀察 (跌勢收斂),937.0,2026-09-16 00:00:00,951.75,-2.2999999999999545,True,False,0.8230496062614925,False,0.020436696015222557,101.00897999924618,0.020599506972481182,0.021334276880710996,-0.08312698563477383,-2.1883926140530363,-7.068902603457583,-0.08312698563477383,False,False,False,False,False,False,0.10863301064956471,False,-0.3791269344591368,中性,6488.TWO,環球晶,1,v1,phase6a,2026-07-12,0,1,1,1,1,1,v1,255,0.6116207951070336,255,0.6116207951070336,274,0.5825688073394495,^TWII,yfinance,2y,2026-09-16,scan_20260916_153003,False,False
True,0,-0.29166730244954425,-0.3500003814697265,True,False,觀察 (跌勢收斂),37.099998474121094,2026-09-16 00:00:00,37.81249942779541,-0.1325000762939439,False,False,0.6878718807355226,False,0.0008091797128930988,44.42372327445858,0.0008217849534798796,0.000862019511631819,-0.16120135763818544,-1.0261892704103048,-5.251027544653441,-0.16120135763818544,False,False,False,False,False,False,0.06495593146097581,False,-0.08620689979165741,中性,6708.TWO,天擎,1,v1,phase6a,2026-07-12,0,1,1,1,1,1,v1,265,0.5963302752293578,265,0.5963302752293578,283,0.5688073394495413,^TWII,yfinance,2y,2026-09-16,scan_20260916_153003,False,False
True,0,0.09999974568684897,0.0583330790201823,True,False,買入 (動能增強),45.70000076293945,2026-09-16 00:00:00,45.91499996185303,-0.007499885559084873,False,False,0.8306842373469242,False,0.0009967524263475268,60.27204367480075,0.000999281211670517,0.0010294232423056597,-0.026630846005148978,-0.5298871746122313,-4.20218022384412,-0.026630846005148978,False,False,False,False,False,False,0.12677723466395158,False,-0.17827079778988786,中性,6509.TWO,聚和,2,v1,phase6a,2026-07-12,0,2,2,2,2,2,v1,96,0.8547400611620795,96,0.8547400611620795,113,0.8287461773700305,^TWII,yfinance,2y,2026-09-16,scan_20260916_153003,False,False
True,0,-1.0,1.4999999999999998,True,False,賣出 (動能轉弱),181.5,2026-09-16 00:00:00,186.625,-0.5500000000000114,True,False,0.2607154222297578,False,0.003958655631550581,264.71059884072105,0.004026849694512019,0.0039365838367659,-0.17794428761697123,-1.5512679924060802,-1.6281359828005826,-0.17794428761697123,False,True,True,False,False,False,0.3790853981338236,False,-0.2405857740585774,中性,6907.TWO,雅特力-KY,1,v1,phase6a,2026-07-12,0,1,1,1,1,1,v1,275,0.581039755351682,275,0.581039755351682,290,0.5581039755351682,^TWII,yfinance,2y,2026-09-16,scan_20260916_153003,True,False
True,0,-0.19724337259928384,-0.19393285115559894,True,False,賣出 (動能轉弱),16.799999237060547,2026-09-16 00:00:00,16.974686527252196,-0.0048377990722663355,True,False,0.8643000400060407,False,0.0003664210004949597,28.458879288687587,0.00036725314569904425,0.00038005576355193177,-0.02384549887533005,-0.28210755697799517,-1.966308154100449,-0.02384549887533005,False,False,False,False,False,False,0.21372391844778493,False,-0.027224132865943496,中性,6248.TWO,沛波,0,v1,phase6a,2026-07-12,0,0,0,0,0,0,v1,542,0.172782874617737,542,0.172782874617737,555,0.1529051987767584,^TWII,yfinance,2y,2026-09-16,scan_20260916_153003,False,False
