is_squeezed,energy_level,momentum,fired,timestamp,ticker,name
True,0,-0.16666682561238605,False,2026-03-20 00:00:00,1506.TW,正道
True,0,-2.216666539510091,False,2026-03-19 00:00:00,1525.TW,江申
True,0,-0.5583333969116209,False,2026-03-20 00:00:00,1528.TW,恩德
True,0,0.3999999364217122,False,2026-03-20 00:00:00,1533.TW,車王電
True,0,-0.08333333333333331,False,2026-03-20 00:00:00,1537.TW,廣隆
True,0,0.3833335240681966,False,2026-03-20 00:00:00,1541.TW,錩泰
True,0,-5.551115123125783e-17,False,2026-03-20 00:00:00,1580.TWO,新麥
True,0,0.14166641235351562,False,2026-03-20 00:00:00,1570.TWO,力肯
True,0,0.008334477742513002,False,2026-03-20 00:00:00,1595.TWO,川寶
True,0,-0.10999981562296549,False,2026-03-20 00:00:00,1714.TW,和桐
True,0,-0.17499987284342447,False,2026-03-20 00:00:00,1731.TW,美吾華
True,0,0.3083333969116211,False,2026-03-20 00:00:00,1734.TW,杏輝
True,0,-0.08333301544189452,False,2026-03-20 00:00:00,1737.TW,臺鹽
True,0,-0.5333328247070312,False,2026-03-20 00:00:00,1752.TW,南光
True,0,-5.583333333333333,False,2026-03-20 00:00:00,1773.TW,勝一
True,0,-0.275000254313151,False,2026-03-20 00:00:00,1781.TWO,合世
True,0,0.5833333333333333,False,2026-03-19 00:00:00,1788.TWO,杏昌
True,0,-1.166666666666667,False,2026-03-20 00:00:00,1815.TWO,富喬
True,0,-0.24166742960611975,False,2026-03-20 00:00:00,1817.TW,凱撒衛
True,0,0.7166671752929688,False,2026-03-20 00:00:00,2015.TW,豐興
True,0,-0.21666653951009113,False,2026-03-20 00:00:00,2020.TW,美亞
True,0,-0.14166657129923502,False,2026-03-20 00:00:00,2023.TW,燁輝
True,0,-0.45833349227905273,False,2026-03-20 00:00:00,2033.TW,佳大
True,0,-0.2500003178914388,False,2026-03-19 00:00:00,2035.TWO,唐榮
True,0,-5.416666666666666,False,2026-03-20 00:00:00,2049.TW,上銀
True,0,0.10833326975504559,False,2026-03-20 00:00:00,2038.TW,海光
True,0,-0.0666662851969401,False,2026-03-19 00:00:00,2064.TWO,晉椿
True,0,-3.178914387974574e-07,False,2026-03-20 00:00:00,2063.TWO,世鎧
True,0,0.21666685740152994,False,2026-03-20 00:00:00,2069.TW,運錩
True,0,-0.30833307902018225,False,2026-03-20 00:00:00,2070.TWO,精湛
True,0,-0.32500012715657556,False,2026-03-20 00:00:00,2104.TW,國際中橡
True,0,0.016666730244954426,False,2026-03-20 00:00:00,2109.TW,華豐
True,0,-0.75,False,2026-03-20 00:00:00,2114.TW,鑫永銓
True,0,-0.41666666666666663,False,2026-03-20 00:00:00,2211.TW,長榮鋼
True,0,-3.5,False,2026-03-20 00:00:00,2236.TW,百達-KY
True,0,0.625,False,2026-03-20 00:00:00,2241.TW,艾姆勒
True,0,-0.11666647593180338,False,2026-03-20 00:00:00,2332.TW,友訊
True,0,1.2666676839192708,False,2026-03-20 00:00:00,2364.TW,倫飛
True,0,-0.5166670481363931,False,2026-03-20 00:00:00,2373.TW,震旦行
True,0,-0.1166661580403646,False,2026-03-20 00:00:00,2377.TW,微星
True,0,8.25,False,2026-03-20 00:00:00,2379.TW,瑞昱
True,0,-2.833333333333333,False,2026-03-20 00:00:00,2382.TW,廣達
True,0,-2.416666666666667,False,2026-03-20 00:00:00,2385.TW,群光
True,0,-0.14166704813639325,False,2026-03-20 00:00:00,2409.TW,友達
True,0,0.16666666666666663,False,2026-03-20 00:00:00,2412.TW,中華電
True,0,0.8250001271565754,False,2026-03-20 00:00:00,2419.TW,仲琦
True,0,0.400000254313151,False,2026-03-20 00:00:00,2420.TW,新巨
True,0,-0.28333473205566406,False,2026-03-20 00:00:00,2423.TW,固緯
True,0,0.49999968210856116,False,2026-03-20 00:00:00,2477.TW,美隆電
True,0,-2.333333333333333,False,2026-03-20 00:00:00,2480.TW,敦陽科
True,0,-0.36666647593180335,False,2026-03-20 00:00:00,2491.TW,吉祥全
True,0,0.15000152587890625,False,2026-03-20 00:00:00,2496.TW,卓越
True,0,-0.0366670290629069,False,2026-03-20 00:00:00,2511.TW,太子
True,0,0.2666670481363932,False,2026-03-20 00:00:00,2534.TW,宏盛
True,0,-0.0666656494140625,False,2026-03-20 00:00:00,2535.TW,達欣工
True,0,-0.6333332061767578,False,2026-03-20 00:00:00,2545.TW,皇翔
True,0,0.11666647593180338,False,2026-03-20 00:00:00,2547.TW,日勝生
True,0,0.19878641764322913,False,2026-03-20 00:00:00,2613.TW,中櫃
True,0,0.15833346048990884,False,2026-03-20 00:00:00,2614.TW,東森
True,0,-0.6166661580403645,False,2026-03-20 00:00:00,2615.TW,萬海
True,0,-0.9416675567626951,False,2026-03-20 00:00:00,2704.TW,國賓
True,0,-0.09166685740152994,False,2026-03-20 00:00:00,2724.TWO,藝舍-KY
True,0,0.7999998728434244,False,2026-03-20 00:00:00,2739.TW,寒舍
True,0,-0.6249993642171223,False,2026-03-20 00:00:00,2740.TWO,天蔥
True,0,1.0833333333333333,False,2026-03-20 00:00:00,2753.TW,八方雲集
True,0,0.0750001271565755,False,2026-03-20 00:00:00,2816.TW,旺旺保
True,0,0.12500031789143878,False,2026-03-20 00:00:00,2838.TW,聯邦銀
True,0,0.8333333333333334,False,2026-03-20 00:00:00,2850.TW,新產
True,0,-0.2833331425984701,False,2026-03-20 00:00:00,2887.TW,台新新光金
True,0,0.16833321253458658,False,2026-03-20 00:00:00,2897.TW,王道銀行
True,0,-0.375,False,2026-03-20 00:00:00,2901.TW,欣欣
True,0,0.16000008583068845,False,2026-03-20 00:00:00,2911.TW,麗嬰房
True,0,-0.3000005086263021,False,2026-03-20 00:00:00,2948.TWO,寶陞
True,0,0.2916666666666667,False,2026-03-20 00:00:00,3003.TW,健和興
True,0,0.03333314259847006,False,2026-03-20 00:00:00,3024.TW,憶聲
True,0,-1.5522588094075522,False,2026-03-20 00:00:00,3029.TW,零壹
True,0,-3.583333333333333,False,2026-03-20 00:00:00,3034.TW,聯詠
True,0,2.2666664123535156,False,2026-03-20 00:00:00,3042.TW,晶技
True,0,-0.7166668574015299,False,2026-03-20 00:00:00,3043.TW,科風
True,0,-13.083333333333332,False,2026-03-20 00:00:00,3044.TW,健鼎
True,0,-1.8250001271565752,False,2026-03-20 00:00:00,3073.TWO,天方能源
True,0,-0.18333307902018225,False,2026-03-20 00:00:00,3078.TWO,僑威
True,0,-0.3500000635782877,False,2026-03-20 00:00:00,3095.TWO,及成
True,0,-0.23333358764648438,False,2026-03-20 00:00:00,3115.TWO,富榮綱
True,0,-0.016667048136393234,False,2026-03-20 00:00:00,3118.TWO,進階
True,0,0.26666673024495435,False,2026-03-20 00:00:00,3122.TWO,笙泉
True,0,0.11666615804036459,False,2026-03-20 00:00:00,3168.TW,眾福科
True,0,8.999999999999998,False,2026-03-20 00:00:00,3211.TWO,順達
True,0,3.416666666666666,False,2026-03-20 00:00:00,3217.TWO,優群
True,0,-0.8333333333333334,False,2026-03-20 00:00:00,3231.TW,緯創
True,0,-1.6166667938232422,False,2026-03-20 00:00:00,3230.TWO,錦明
