is_squeezed,energy_level,momentum,prev_momentum,squeeze_on,fired,Signal,Close,timestamp,ticker,name,has_houyi,has_whale,composite_score
True,3,0.0,0.0,True,False,賣出 (動能轉弱),3.2699999809265137,2026-05-20 00:00:00,4804.TWO,大略-KY,False,False,0
True,3,-0.1999994913736979,-0.14166641235351562,True,False,賣出 (動能轉弱),29.450000762939453,2026-05-21 00:00:00,7833.TWO,綠岩能源,False,False,0
True,2,0.0749998092651367,0.04166634877522786,True,False,買入 (動能增強),27.899999618530273,2026-05-21 00:00:00,1293.TWO,利統,False,True,4
True,2,-0.27499961853027344,-0.24166615804036456,True,False,賣出 (動能轉弱),22.100000381469727,2026-05-21 00:00:00,2528.TW,皇普,False,False,0
True,2,0.3333333333333333,0.16666539510091144,True,False,買入 (動能增強),66.9000015258789,2026-05-21 00:00:00,2643.TWO,捷迅,False,False,2
True,2,0.05833307902018228,0.02499993642171224,True,False,買入 (動能增強),17.0,2026-05-21 00:00:00,3373.TWO,熱映,False,False,2
True,2,-0.19999885559082028,-0.24999936421712238,True,False,觀察 (跌勢收斂),35.20000076293945,2026-05-21 00:00:00,4131.TWO,浩泰,False,False,1
True,2,-0.09166653951009114,-0.07500012715657552,True,False,賣出 (動能轉弱),18.450000762939453,2026-05-21 00:00:00,4538.TWO,大詠城,False,False,0
True,2,-0.15833282470703125,-0.1749995549519857,True,False,觀察 (跌勢收斂),30.200000762939453,2026-05-21 00:00:00,5523.TWO,豐謙,False,False,1
True,2,-0.3416665395100912,-0.3583332697550456,True,False,觀察 (跌勢收斂),29.899999618530273,2026-05-21 00:00:00,5543.TWO,桓鼎-KY,False,False,1
True,2,-0.3250001271565755,-0.37500015894571936,True,False,觀察 (跌勢收斂),11.100000381469727,2026-05-21 00:00:00,5863.TWO,瑞興銀,False,False,1
True,2,0.11666679382324217,-0.049999872843424505,True,False,買入 (動能增強),34.349998474121094,2026-05-21 00:00:00,6243.TW,迅杰,True,False,3
True,2,0.11833318074544269,0.06499989827473958,True,False,買入 (動能增強),8.119999885559082,2026-05-21 00:00:00,6549.TWO,景凱,True,True,5
True,2,-0.2000001271565755,-0.39166704813639325,True,False,觀察 (跌勢收斂),39.54999923706055,2026-05-21 00:00:00,6649.TWO,台生材,True,False,2
True,2,-0.45833365122477204,-0.2833334604899089,True,False,賣出 (動能轉弱),20.899999618530273,2026-05-21 00:00:00,6755.TWO,連鋐科技,True,False,1
True,2,-1.6666666666666665,-1.7499999999999998,True,False,觀察 (跌勢收斂),290.5,2026-05-21 00:00:00,7878.TWO,藥祇,False,False,1
True,2,-0.24166711171468097,-0.1333335240681966,True,False,賣出 (動能轉弱),22.399999618530273,2026-05-21 00:00:00,7882.TWO,倍利創投,False,False,0
True,2,6.333333333333332,6.083333333333333,True,False,買入 (動能增強),300.0,2026-05-21 00:00:00,7883.TWO,饗賓,False,False,2
True,2,3.469446951953614e-18,0.07499996821085611,True,False,觀望 (動能減弱),13.600000381469727,2026-05-21 00:00:00,8421.TWO,旭源,False,True,2
True,2,-0.13333257039388022,-0.06666628519694011,True,False,賣出 (動能轉弱),43.29999923706055,2026-05-21 00:00:00,9918.TW,欣天然,False,False,0
True,2,0.02499993642171224,0.05000019073486328,True,False,觀望 (動能減弱),17.649999618530273,2026-05-21 00:00:00,9928.TW,中視,False,False,0
True,1,-0.5833333333333334,-0.6333338419596354,True,False,觀察 (跌勢收斂),86.80000305175781,2026-05-21 00:00:00,1231.TW,聯華食,False,False,1
True,1,0.775000254313151,0.5250005722045898,True,False,買入 (動能增強),21.25,2026-05-21 00:00:00,1343.TWO,旭東環保,False,False,2
True,1,0.05833371480305992,0.11666679382324219,True,False,觀望 (動能減弱),16.950000762939453,2026-05-21 00:00:00,1409.TW,新纖,False,False,0
True,1,0.04166698455810547,0.058333396911621094,True,False,觀望 (動能減弱),16.700000762939453,2026-05-21 00:00:00,1451.TW,年興,False,True,2
True,1,-0.09166653951009116,-0.10000038146972656,True,False,觀察 (跌勢收斂),32.900001525878906,2026-05-21 00:00:00,1527.TW,鑽全,False,False,1
True,1,-0.16666666666666666,-0.04166666666666666,True,False,賣出 (動能轉弱),20.950000762939453,2026-05-21 00:00:00,1540.TW,喬福,False,False,0
True,1,0.8833325703938801,1.0083332061767578,True,False,觀望 (動能減弱),39.599998474121094,2026-05-21 00:00:00,1570.TWO,力肯,False,False,0
True,1,-0.08333333333333334,-0.008333524068196624,True,False,賣出 (動能轉弱),19.649999618530273,2026-05-21 00:00:00,1584.TWO,精剛,False,False,0
True,1,0.9166666666666666,0.75,True,False,買入 (動能增強),47.95000076293945,2026-05-21 00:00:00,1713.TW,國化,False,False,2
True,1,0.31666692097981763,0.29999987284342444,True,False,買入 (動能增強),52.900001525878906,2026-05-21 00:00:00,1730.TW,花仙子,False,False,2
True,1,-0.1833333969116211,-0.19166692097981772,True,False,觀察 (跌勢收斂),31.5,2026-05-21 00:00:00,1737.TW,臺鹽,False,False,1
True,1,0.30000050862630206,0.28333282470703125,True,False,買入 (動能增強),71.4000015258789,2026-05-21 00:00:00,1777.TWO,生泰,False,False,2
True,1,-0.08666674296061197,-0.09000015258789062,True,False,觀察 (跌勢收斂),9.020000457763672,2026-05-21 00:00:00,1909.TW,榮成,False,False,1
True,1,0.0666666030883789,-0.02499993642171225,True,False,買入 (動能增強),27.850000381469727,2026-05-21 00:00:00,2008.TW,高興昌,False,False,2
True,1,0.10000006357828775,0.09999974568684895,True,False,買入 (動能增強),20.450000762939453,2026-05-21 00:00:00,2029.TW,盛餘,False,False,2
True,1,0.19166723887125653,0.16666730244954428,True,False,買入 (動能增強),28.450000762939453,2026-05-21 00:00:00,2035.TWO,唐榮,False,False,2
True,1,-0.18333307902018228,-0.09999974568684895,True,False,賣出 (動能轉弱),12.699999809265137,2026-05-20 00:00:00,2321.TW,東訊,False,False,0
True,1,0.03333346048990885,-0.11666679382324219,True,False,買入 (動能增強),14.600000381469727,2026-05-21 00:00:00,2332.TW,友訊,False,False,2
True,1,-0.1250001589457194,-0.16666666666666666,True,False,觀察 (跌勢收斂),12.649999618530273,2026-05-21 00:00:00,2349.TW,錸德,False,False,1
True,1,0.12499968210856119,0.04999971389770508,True,False,買入 (動能增強),16.0,2026-05-21 00:00:00,2405.TW,輔信,True,False,3
True,1,0.25000000000000006,-1.2499999999999998,True,False,買入 (動能增強),120.0,2026-05-21 00:00:00,2476.TW,鉅祥,False,False,2
True,1,0.14166641235351562,0.1249993642171224,True,False,買入 (動能增強),34.5,2026-05-21 00:00:00,2739.TW,寒舍,True,True,5
True,1,-0.050000031789143876,-0.050000031789143876,True,False,賣出 (動能轉弱),11.850000381469727,2026-05-21 00:00:00,2836.TW,高雄銀,False,False,0
True,1,0.050000031789143876,0.016666571299235024,True,False,買入 (動能增強),14.75,2026-05-21 00:00:00,2889.TW,國票金,False,False,2
True,1,-0.08333396911621094,-0.008333841959635414,True,False,賣出 (動能轉弱),22.25,2026-05-21 00:00:00,2903.TW,遠百,False,False,0
True,1,-0.366665522257487,-0.5333321889241536,True,False,觀察 (跌勢收斂),37.79999923706055,2026-05-21 00:00:00,2948.TWO,寶陞,False,False,1
True,1,2.4666671752929688,2.050000508626302,True,False,買入 (動能增強),102.0,2026-05-21 00:00:00,3005.TW,神基,False,False,2
True,1,-0.06666692097981769,-0.2666670481363932,True,False,觀察 (跌勢收斂),24.850000381469727,2026-05-21 00:00:00,3041.TW,揚智,False,False,1
True,1,-0.37500015894571936,-0.41666682561238605,True,False,觀察 (跌勢收斂),14.649999618530273,2026-05-21 00:00:00,3047.TW,訊舟,False,False,1
True,1,-0.08333396911621094,-0.03333346048990885,True,False,賣出 (動能轉弱),33.5,2026-05-21 00:00:00,3118.TWO,進階,False,False,0
True,1,0.8333333333333333,0.9166666666666666,True,False,觀望 (動能減弱),222.0,2026-05-21 00:00:00,3130.TW,一零四,False,False,0
True,1,0.5333340962727864,0.36666742960611975,True,False,買入 (動能增強),56.5,2026-05-21 00:00:00,3257.TW,虹冠電,False,False,2
True,1,-0.8166681925455729,-1.0000012715657551,True,False,觀察 (跌勢收斂),47.25,2026-05-21 00:00:00,3290.TWO,東浦,False,False,1
True,1,0.18333307902018228,0.13333257039388025,True,False,買入 (動能增強),70.0999984741211,2026-05-21 00:00:00,3310.TWO,佳穎,False,False,2
True,1,0.1250006357828776,0.31666692097981775,True,False,觀望 (動能減弱),35.400001525878906,2026-05-21 00:00:00,3323.TWO,加百裕,False,False,0
True,1,1.3000017801920574,1.5833346048990886,True,False,觀望 (動能減弱),64.4000015258789,2026-05-21 00:00:00,3332.TWO,幸康,False,False,0
True,1,-4.166666666666665,-7.0,True,False,觀察 (跌勢收斂),209.5,2026-05-21 00:00:00,3376.TW,新日興,True,False,2
True,1,6.249999999999999,3.75,True,False,買入 (動能增強),326.5,2026-05-21 00:00:00,3413.TW,京鼎,False,True,4
True,1,-0.14999993642171225,-0.2666667302449544,True,False,觀察 (跌勢收斂),22.0,2026-05-21 00:00:00,3489.TWO,森寶,True,False,2
True,1,0.03333298365275067,0.09999974568684895,True,False,觀望 (動能減弱),12.399999618530273,2026-05-21 00:00:00,3522.TWO,御嵿,False,False,0
True,1,0.39999961853027344,0.2749999364217122,True,False,買入 (動能增強),23.399999618530273,2026-05-21 00:00:00,3531.TWO,先益,False,False,2
True,1,-1.0,-0.6666666666666666,True,False,賣出 (動能轉弱),187.5,2026-05-21 00:00:00,3611.TWO,鼎翰,False,False,0
True,1,-0.3166669209798177,-0.4916667938232422,True,False,觀察 (跌勢收斂),23.350000381469727,2026-05-21 00:00:00,3623.TWO,富晶通,False,False,1
True,1,0.3000005086263021,0.24166711171468094,True,False,買入 (動能增強),23.5,2026-05-21 00:00:00,3646.TWO,艾恩特,False,False,2
True,1,-0.05833307902018227,-0.1499999364217122,True,False,觀察 (跌勢收斂),19.350000381469727,2026-05-21 00:00:00,4167.TWO,松瑞藥,True,False,2
True,1,-0.3849999904632568,-0.3733332951863606,True,False,賣出 (動能轉弱),7.170000076293945,2026-05-21 00:00:00,4194.TWO,禾生技,False,False,0
